,Carrier,NumFlights,AvgProbDelayed
0,American Airlines Inc.,47028,0.4214317781419348
1,Alaksa Airlines Inc.,12508,0.407167894410646
2,JetBlue Airways,15573,0.46287249967019023
3,Delta Air Lines Inc.,48633,0.32160750764996315
4,Frontier Airlines Inc.,6140,0.499021474266923
5,Allegiant Air,4904,0.4314718138459074
6,Hawaiian Airlines Inc.,4320,0.38189027718245866
7,Spirit Air Lines,8950,0.37245490029392675
8,United Air Lines Inc.,31590,0.3963573282199947
9,Virgin America,882,0.4076363079022115
10,Southwest Airlines Co.,69472,0.42930769210091263
