,Carrier,NumFlights,AvgProbDelayed
0,American Airlines Inc.,47028,0.18844739702197533
1,Alaksa Airlines Inc.,12508,0.15383079940657216
2,JetBlue Airways,15573,0.26347041217383615
3,Delta Air Lines Inc.,48633,0.13215257951832435
4,Frontier Airlines Inc.,6140,0.29139619393068605
5,Allegiant Air,4904,0.21531657657421507
6,Hawaiian Airlines Inc.,4320,0.09213777806356942
7,Spirit Air Lines,8950,0.16961172701138355
8,United Air Lines Inc.,31590,0.1865682638199807
9,Virgin America,882,0.19169903073154101
10,Southwest Airlines Co.,69472,0.18766778031307343
