,Carrier,Origin,Destination,NumFlights,AvgProbDelayed
0,American Airlines Inc.,ABQ,DFW,104,0.40480034639471
1,American Airlines Inc.,ABQ,ORD,28,0.38555258175360935
2,American Airlines Inc.,ABQ,PHX,6,0.18025238853152026
3,American Airlines Inc.,ALB,CLT,50,0.3406215688614836
4,American Airlines Inc.,ANC,DFW,8,0.4695766543698144
5,American Airlines Inc.,ANC,LAX,1,0.17680915395210514
6,American Airlines Inc.,ANC,PHX,3,0.4275406065242922
7,American Airlines Inc.,ATL,CLT,109,0.38607282460100467
8,American Airlines Inc.,ATL,DFW,130,0.3784165403715271
9,American Airlines Inc.,ATL,LAX,54,0.3732873018171451
10,American Airlines Inc.,ATL,LGA,40,0.5041729229353673
11,American Airlines Inc.,ATL,MIA,68,0.33153732415498643
12,American Airlines Inc.,ATL,ORD,45,0.39835583513904677
13,American Airlines Inc.,ATL,PHL,94,0.37247390467944297
14,American Airlines Inc.,ATL,PHX,41,0.4843913503484823
15,American Airlines Inc.,AUS,CLT,78,0.35712427785492
16,American Airlines Inc.,AUS,DFW,201,0.34638683518205415
17,American Airlines Inc.,AUS,JFK,26,0.45847645315676916
18,American Airlines Inc.,AUS,LAX,92,0.2032580989896907
19,American Airlines Inc.,AUS,MIA,18,0.38784703964882467
20,American Airlines Inc.,AUS,ORD,58,0.4373133676238833
21,American Airlines Inc.,AUS,PHL,44,0.3107864120437265
22,American Airlines Inc.,AUS,PHX,76,0.4278215988858165
23,American Airlines Inc.,BDL,CLT,93,0.3805514869806958
24,American Airlines Inc.,BDL,DFW,31,0.4536525620251225
25,American Airlines Inc.,BDL,LAX,18,0.31683703571878885
26,American Airlines Inc.,BDL,MIA,12,0.3181494563915664
27,American Airlines Inc.,BDL,ORD,42,0.48973062594227024
28,American Airlines Inc.,BDL,PHL,43,0.1833124572686406
29,American Airlines Inc.,BNA,CLT,100,0.3350780718279118
30,American Airlines Inc.,BNA,DFW,132,0.44962478122324917
31,American Airlines Inc.,BNA,LAX,44,0.3291651421857357
32,American Airlines Inc.,BNA,MIA,18,0.3971778698618316
33,American Airlines Inc.,BNA,ORD,7,0.3110941390541503
34,American Airlines Inc.,BNA,PHL,33,0.3290105717291496
35,American Airlines Inc.,BOI,DFW,21,0.509926135596877
36,American Airlines Inc.,BOI,PHX,15,0.3702106753120117
37,American Airlines Inc.,BOS,CLT,173,0.3630549368477032
38,American Airlines Inc.,BOS,DCA,233,0.2726865907983903
39,American Airlines Inc.,BOS,DFW,109,0.37273841615949127
40,American Airlines Inc.,BOS,JFK,47,0.22034912564428988
41,American Airlines Inc.,BOS,LAX,89,0.3232153669010666
42,American Airlines Inc.,BOS,LGA,183,0.32826741157091155
43,American Airlines Inc.,BOS,MIA,112,0.3398362175223132
44,American Airlines Inc.,BOS,ORD,152,0.38052767112642777
45,American Airlines Inc.,BOS,PHL,184,0.3584986926634016
46,American Airlines Inc.,BOS,PHX,80,0.5605169795854253
47,American Airlines Inc.,BTV,PHL,29,0.2712141622203516
48,American Airlines Inc.,BUF,CLT,53,0.2577027010102206
49,American Airlines Inc.,BWI,CLT,120,0.2508226617068513
50,American Airlines Inc.,BWI,DFW,63,0.4049136434686313
51,American Airlines Inc.,BWI,MIA,48,0.3417564052731978
52,American Airlines Inc.,BWI,ORD,13,0.2520480267431312
53,American Airlines Inc.,BWI,PHX,34,0.39117781810797264
54,American Airlines Inc.,BZN,DFW,13,0.2503660057208096
55,American Airlines Inc.,BZN,ORD,3,0.42143187015348604
56,American Airlines Inc.,CAE,DFW,20,0.27697863272416856
57,American Airlines Inc.,CHS,CLT,42,0.22806339391503175
58,American Airlines Inc.,CHS,DFW,43,0.3003176494066893
59,American Airlines Inc.,CHS,PHL,5,0.031822424814958096
60,American Airlines Inc.,CLE,CLT,41,0.2874169417675102
61,American Airlines Inc.,CLE,DFW,91,0.37091063909613536
62,American Airlines Inc.,CLE,PHL,37,0.48555664543534244
63,American Airlines Inc.,CLT,ALB,52,0.45438933584468366
64,American Airlines Inc.,CLT,ATL,81,0.4690492823983015
65,American Airlines Inc.,CLT,AUS,91,0.4262321407246372
66,American Airlines Inc.,CLT,BDL,117,0.47172213484748887
67,American Airlines Inc.,CLT,BNA,117,0.3979508995033299
68,American Airlines Inc.,CLT,BOS,164,0.5680029859604084
69,American Airlines Inc.,CLT,BUF,59,0.4691887610952642
70,American Airlines Inc.,CLT,BWI,126,0.5106327923596676
71,American Airlines Inc.,CLT,CHS,50,0.2721944516316003
72,American Airlines Inc.,CLT,CLE,56,0.3428421815232823
73,American Airlines Inc.,CLT,DCA,138,0.5381104987335413
74,American Airlines Inc.,CLT,DEN,97,0.49228381256280723
75,American Airlines Inc.,CLT,DFW,201,0.39911598748820043
76,American Airlines Inc.,CLT,DTW,78,0.39833925104273443
77,American Airlines Inc.,CLT,EWR,111,0.5584772021866954
78,American Airlines Inc.,CLT,FLL,123,0.46932097295690045
79,American Airlines Inc.,CLT,GSO,4,0.4111188182305126
80,American Airlines Inc.,CLT,IAD,6,0.5925829195219585
81,American Airlines Inc.,CLT,IAH,102,0.48118193975648876
82,American Airlines Inc.,CLT,ILM,56,0.3165408361968858
83,American Airlines Inc.,CLT,IND,24,0.3775335369299114
84,American Airlines Inc.,CLT,JAX,116,0.37069859191578
85,American Airlines Inc.,CLT,JFK,94,0.5458048381698664
86,American Airlines Inc.,CLT,LAS,81,0.4900715936095789
87,American Airlines Inc.,CLT,LAX,110,0.42358614863738986
88,American Airlines Inc.,CLT,LGA,187,0.4443619222224841
89,American Airlines Inc.,CLT,MCI,76,0.34369255519095626
90,American Airlines Inc.,CLT,MCO,169,0.5118976269001221
91,American Airlines Inc.,CLT,MDT,28,0.3898226923312798
92,American Airlines Inc.,CLT,MEM,86,0.3799484839799175
93,American Airlines Inc.,CLT,MIA,163,0.5066500916631357
94,American Airlines Inc.,CLT,MLB,9,0.6501559854148227
95,American Airlines Inc.,CLT,MSP,66,0.4434031248061883
96,American Airlines Inc.,CLT,MSY,99,0.41471242396393276
97,American Airlines Inc.,CLT,MTJ,3,0.21897172671713058
98,American Airlines Inc.,CLT,MYR,21,0.23726149432699875
99,American Airlines Inc.,CLT,OKC,7,0.31258594989012345
100,American Airlines Inc.,CLT,ORD,153,0.5093453872298932
101,American Airlines Inc.,CLT,ORF,85,0.46183659030905955
102,American Airlines Inc.,CLT,PBI,79,0.44704815437029627
103,American Airlines Inc.,CLT,PDX,23,0.4489230026484229
104,American Airlines Inc.,CLT,PHL,174,0.4732797852448445
105,American Airlines Inc.,CLT,PHX,149,0.48128569242057706
106,American Airlines Inc.,CLT,PIT,108,0.43849912690052795
107,American Airlines Inc.,CLT,PNS,8,0.21134066679168895
108,American Airlines Inc.,CLT,PVD,77,0.4150226600391348
109,American Airlines Inc.,CLT,PWM,43,0.47718914456279005
110,American Airlines Inc.,CLT,RDU,153,0.41728129948937726
111,American Airlines Inc.,CLT,RIC,72,0.44284523821719923
112,American Airlines Inc.,CLT,RSW,74,0.35407870769340255
113,American Airlines Inc.,CLT,SAN,47,0.5086501555218644
114,American Airlines Inc.,CLT,SAT,65,0.4682978019337456
115,American Airlines Inc.,CLT,SAV,25,0.18933508118467735
116,American Airlines Inc.,CLT,SDF,2,0.16334535179659673
117,American Airlines Inc.,CLT,SEA,56,0.5411837088874517
118,American Airlines Inc.,CLT,SFO,98,0.5767326197445231
119,American Airlines Inc.,CLT,SJC,9,0.29210631180442426
120,American Airlines Inc.,CLT,SJU,30,0.5327617712662799
121,American Airlines Inc.,CLT,SLC,18,0.4638199540651913
122,American Airlines Inc.,CLT,SMF,22,0.5955269382396654
123,American Airlines Inc.,CLT,SRQ,2,0.05741739421125286
124,American Airlines Inc.,CLT,STL,53,0.3815095253637137
125,American Airlines Inc.,CLT,STT,2,0.5995780737892196
126,American Airlines Inc.,CLT,STX,3,0.5784385661175255
127,American Airlines Inc.,CLT,SYR,28,0.48281224869329475
128,American Airlines Inc.,CLT,TPA,161,0.4956466186970073
129,American Airlines Inc.,CLT,TUL,19,0.5121547349507264
130,American Airlines Inc.,CLT,TUS,16,0.42294292371740244
131,American Airlines Inc.,CMH,CLT,3,0.33098424396104026
132,American Airlines Inc.,CMH,DFW,89,0.42566371974041406
133,American Airlines Inc.,CMH,LAX,20,0.3594629663367684
134,American Airlines Inc.,CMH,PHL,3,0.6666840178650206
135,American Airlines Inc.,CMH,PHX,36,0.6166744815545058
136,American Airlines Inc.,COS,DFW,72,0.4902660511261571
137,American Airlines Inc.,CVG,DFW,39,0.4705308208535452
138,American Airlines Inc.,DAY,DFW,13,0.3266405424044935
139,American Airlines Inc.,DCA,BOS,229,0.315701302587898
140,American Airlines Inc.,DCA,CLT,147,0.28255956701364227
141,American Airlines Inc.,DCA,DFW,179,0.4721830401900277
142,American Airlines Inc.,DCA,JFK,20,0.24643724905447711
143,American Airlines Inc.,DCA,LAS,17,0.40045058871539757
144,American Airlines Inc.,DCA,LAX,31,0.38233245114654973
145,American Airlines Inc.,DCA,LGA,4,0.32576088663145897
146,American Airlines Inc.,DCA,MCO,87,0.398053881335879
147,American Airlines Inc.,DCA,MIA,171,0.38159437630461623
148,American Airlines Inc.,DCA,MSY,7,0.27796040671403055
149,American Airlines Inc.,DCA,ORD,140,0.31644172866081116
150,American Airlines Inc.,DCA,PBI,16,0.2775331665054115
151,American Airlines Inc.,DCA,PHL,17,0.13839092889892352
152,American Airlines Inc.,DCA,PHX,72,0.4694947566555576
153,American Airlines Inc.,DCA,RSW,15,0.3784565201223582
154,American Airlines Inc.,DCA,TPA,75,0.3823697612208474
155,American Airlines Inc.,DEN,CLT,100,0.45471909205922595
156,American Airlines Inc.,DEN,DFW,147,0.4669190627369963
157,American Airlines Inc.,DEN,JFK,11,0.3209131000599694
158,American Airlines Inc.,DEN,LAX,21,0.271673804872688
159,American Airlines Inc.,DEN,MIA,64,0.42452800531193524
160,American Airlines Inc.,DEN,ORD,70,0.44798013727002955
161,American Airlines Inc.,DEN,PHL,31,0.46092809173334043
162,American Airlines Inc.,DEN,PHX,80,0.37564739859998214
163,American Airlines Inc.,DFW,ABQ,97,0.5874543961005542
164,American Airlines Inc.,DFW,ANC,7,0.4627057150315282
165,American Airlines Inc.,DFW,ATL,124,0.5980670414154089
166,American Airlines Inc.,DFW,AUS,191,0.4698493716912925
167,American Airlines Inc.,DFW,BDL,23,0.5920613581048146
168,American Airlines Inc.,DFW,BNA,146,0.5211641961110433
169,American Airlines Inc.,DFW,BOI,35,0.5575220886361544
170,American Airlines Inc.,DFW,BOS,106,0.47807147605979916
171,American Airlines Inc.,DFW,BUF,1,0.9564833431467258
172,American Airlines Inc.,DFW,BWI,69,0.48733106511776686
173,American Airlines Inc.,DFW,BZN,9,0.2321087861172546
174,American Airlines Inc.,DFW,CAE,20,0.6079997884820411
175,American Airlines Inc.,DFW,CHS,25,0.6616450230013095
176,American Airlines Inc.,DFW,CLE,81,0.5783100126752166
177,American Airlines Inc.,DFW,CLT,184,0.5231554512925904
178,American Airlines Inc.,DFW,CMH,57,0.5247416936718985
179,American Airlines Inc.,DFW,COS,67,0.6343845784229671
180,American Airlines Inc.,DFW,CVG,27,0.5271614781359785
181,American Airlines Inc.,DFW,DAY,12,0.39475302660705297
182,American Airlines Inc.,DFW,DCA,148,0.49811376119855116
183,American Airlines Inc.,DFW,DEN,170,0.44882538580712206
184,American Airlines Inc.,DFW,DSM,55,0.48369213092265556
185,American Airlines Inc.,DFW,DTW,77,0.5251681336448206
186,American Airlines Inc.,DFW,EGE,21,0.4438584685597273
187,American Airlines Inc.,DFW,ELP,68,0.4678543274260265
188,American Airlines Inc.,DFW,EWR,77,0.453605434495909
189,American Airlines Inc.,DFW,FAT,45,0.39404249766390714
190,American Airlines Inc.,DFW,FLL,112,0.49692381043525014
191,American Airlines Inc.,DFW,GEG,29,0.5437148594742696
192,American Airlines Inc.,DFW,GRR,27,0.5228912929444555
193,American Airlines Inc.,DFW,GSP,44,0.4628401202992499
194,American Airlines Inc.,DFW,GUC,11,0.4423637224392888
195,American Airlines Inc.,DFW,HDN,6,0.49707508728615285
196,American Airlines Inc.,DFW,HNL,42,0.5118006307320474
197,American Airlines Inc.,DFW,IAD,74,0.46612953460168166
198,American Airlines Inc.,DFW,IAH,156,0.5411098103084309
199,American Airlines Inc.,DFW,ICT,39,0.611410924747802
200,American Airlines Inc.,DFW,IND,80,0.5103173364431012
201,American Airlines Inc.,DFW,JAC,25,0.509544396469402
202,American Airlines Inc.,DFW,JAX,70,0.5102802585136855
203,American Airlines Inc.,DFW,JFK,35,0.4131479005194953
204,American Airlines Inc.,DFW,KOA,4,0.5217006264858595
205,American Airlines Inc.,DFW,LAS,185,0.5607581628571318
206,American Airlines Inc.,DFW,LAX,253,0.44754940814703714
207,American Airlines Inc.,DFW,LBB,5,0.21889832326120723
208,American Airlines Inc.,DFW,LGA,203,0.4609465688823778
209,American Airlines Inc.,DFW,LIT,2,0.4906013375355489
210,American Airlines Inc.,DFW,MCI,101,0.5013796512540415
211,American Airlines Inc.,DFW,MCO,170,0.5047615390701028
212,American Airlines Inc.,DFW,MEM,100,0.49629424261554717
213,American Airlines Inc.,DFW,MFE,25,0.3530863360527804
214,American Airlines Inc.,DFW,MIA,210,0.5720701222289284
215,American Airlines Inc.,DFW,MKE,75,0.44586673696777895
216,American Airlines Inc.,DFW,MSP,96,0.5425325651418088
217,American Airlines Inc.,DFW,MSY,117,0.4419734492452128
218,American Airlines Inc.,DFW,MTJ,9,0.2757789624657059
219,American Airlines Inc.,DFW,OAK,18,0.7318804068061396
220,American Airlines Inc.,DFW,OGG,35,0.5137184540533746
221,American Airlines Inc.,DFW,OKC,102,0.4599027965056265
222,American Airlines Inc.,DFW,OMA,66,0.4764757284152177
223,American Airlines Inc.,DFW,ONT,95,0.5420866978346084
224,American Airlines Inc.,DFW,ORD,220,0.5507875391286556
225,American Airlines Inc.,DFW,ORF,38,0.5339531796540323
226,American Airlines Inc.,DFW,PBI,32,0.5366649934840795
227,American Airlines Inc.,DFW,PDX,95,0.5480097068171412
228,American Airlines Inc.,DFW,PHL,174,0.594680922734507
229,American Airlines Inc.,DFW,PHX,179,0.5054698662402655
230,American Airlines Inc.,DFW,PIT,86,0.4452036692807519
231,American Airlines Inc.,DFW,PNS,32,0.5196544152966343
232,American Airlines Inc.,DFW,PSP,34,0.4912331511374281
233,American Airlines Inc.,DFW,RDU,107,0.45256613818283614
234,American Airlines Inc.,DFW,RIC,60,0.4634862169576991
235,American Airlines Inc.,DFW,RNO,37,0.46473104046617375
236,American Airlines Inc.,DFW,RSW,41,0.42245489525551516
237,American Airlines Inc.,DFW,SAN,135,0.45839770359224224
238,American Airlines Inc.,DFW,SAT,205,0.4720524449240711
239,American Airlines Inc.,DFW,SAV,43,0.3478582284002732
240,American Airlines Inc.,DFW,SBA,3,0.7022221142057022
241,American Airlines Inc.,DFW,SDF,1,0.9999999938461344
