,Carrier,Origin,Destination,NumFlights,AvgProbDelayed
0,American Airlines Inc.,ABQ,DFW,104,0.23298403605037785
1,American Airlines Inc.,ABQ,ORD,28,0.1803172429772289
2,American Airlines Inc.,ABQ,PHX,6,0.16664743014965705
3,American Airlines Inc.,ALB,CLT,50,0.19991262332133122
4,American Airlines Inc.,ANC,DFW,8,0.37497240011566957
5,American Airlines Inc.,ANC,LAX,1,5.994868616187539e-09
6,American Airlines Inc.,ANC,PHX,3,0.3333333373299095
7,American Airlines Inc.,ATL,CLT,109,0.1466764449005641
8,American Airlines Inc.,ATL,DFW,130,0.1764310549754302
9,American Airlines Inc.,ATL,LAX,54,0.07410538118772823
10,American Airlines Inc.,ATL,LGA,40,0.42495974389369834
11,American Airlines Inc.,ATL,MIA,68,0.08759253623581355
12,American Airlines Inc.,ATL,ORD,45,0.15553844867353445
13,American Airlines Inc.,ATL,PHL,94,0.2552760574155397
14,American Airlines Inc.,ATL,PHX,41,0.2926604068922266
15,American Airlines Inc.,AUS,CLT,78,0.1281958720202383
16,American Airlines Inc.,AUS,DFW,201,0.1542168592578782
17,American Airlines Inc.,AUS,JFK,26,0.2307601743898468
18,American Airlines Inc.,AUS,LAX,92,0.06521650856355686
19,American Airlines Inc.,AUS,MIA,18,0.1111101077444339
20,American Airlines Inc.,AUS,ORD,58,0.15516563884460566
21,American Airlines Inc.,AUS,PHL,44,0.159077991155266
22,American Airlines Inc.,AUS,PHX,76,0.1840946172812897
23,American Airlines Inc.,BDL,CLT,93,0.17203263705560706
24,American Airlines Inc.,BDL,DFW,31,0.19347759949736384
25,American Airlines Inc.,BDL,LAX,18,0.16666386524384472
26,American Airlines Inc.,BDL,MIA,12,0.08333117506343925
27,American Airlines Inc.,BDL,ORD,42,0.23811356973113162
28,American Airlines Inc.,BDL,PHL,43,0.06976659372397327
29,American Airlines Inc.,BNA,CLT,100,0.08999510039164375
30,American Airlines Inc.,BNA,DFW,132,0.21169017598544118
31,American Airlines Inc.,BNA,LAX,44,0.09082268237396231
32,American Airlines Inc.,BNA,MIA,18,0.11111109462573718
33,American Airlines Inc.,BNA,ORD,7,0.1428571479961608
34,American Airlines Inc.,BNA,PHL,33,0.1818111898737862
35,American Airlines Inc.,BOI,DFW,21,0.3334074402437493
36,American Airlines Inc.,BOI,PHX,15,0.0666432845820699
37,American Airlines Inc.,BOS,CLT,173,0.10011851762197757
38,American Airlines Inc.,BOS,DCA,233,0.1673704013731684
39,American Airlines Inc.,BOS,DFW,109,0.128434362954488
40,American Airlines Inc.,BOS,JFK,47,0.042553221590414254
41,American Airlines Inc.,BOS,LAX,89,0.1358289902261605
42,American Airlines Inc.,BOS,LGA,183,0.20764005050819442
43,American Airlines Inc.,BOS,MIA,112,0.16071158373478145
44,American Airlines Inc.,BOS,ORD,152,0.14460719817880205
45,American Airlines Inc.,BOS,PHL,184,0.1848912079545149
46,American Airlines Inc.,BOS,PHX,80,0.2505803807855652
47,American Airlines Inc.,BTV,PHL,29,0.17240899340044416
48,American Airlines Inc.,BUF,CLT,53,0.05660211302224449
49,American Airlines Inc.,BWI,CLT,120,0.12497688856408683
50,American Airlines Inc.,BWI,DFW,63,0.1744338098873566
51,American Airlines Inc.,BWI,MIA,48,0.14583050721213342
52,American Airlines Inc.,BWI,ORD,13,4.2664019763785094e-08
53,American Airlines Inc.,BWI,PHX,34,0.14704078749839997
54,American Airlines Inc.,BZN,DFW,13,0.07692107156324592
55,American Airlines Inc.,BZN,ORD,3,1.1438193167534769e-07
56,American Airlines Inc.,CAE,DFW,20,0.05000002746908887
57,American Airlines Inc.,CHS,CLT,42,0.04761327769469632
58,American Airlines Inc.,CHS,DFW,43,0.0930232870278447
59,American Airlines Inc.,CHS,PHL,5,5.994868616187539e-09
60,American Airlines Inc.,CLE,CLT,41,0.04877765317812929
61,American Airlines Inc.,CLE,DFW,91,0.15381387638409227
62,American Airlines Inc.,CLE,PHL,37,0.21620728654582497
63,American Airlines Inc.,CLT,ALB,52,0.15383766026186382
64,American Airlines Inc.,CLT,ATL,81,0.16038520812241439
65,American Airlines Inc.,CLT,AUS,91,0.23062209217283763
66,American Airlines Inc.,CLT,BDL,117,0.21435556776356027
67,American Airlines Inc.,CLT,BNA,117,0.1367515684352282
68,American Airlines Inc.,CLT,BOS,164,0.21966441639501944
69,American Airlines Inc.,CLT,BUF,59,0.22199713226378612
70,American Airlines Inc.,CLT,BWI,126,0.1665541824230366
71,American Airlines Inc.,CLT,CHS,50,0.07997896163911994
72,American Airlines Inc.,CLT,CLE,56,0.036422034559664494
73,American Airlines Inc.,CLT,DCA,138,0.18112973901826487
74,American Airlines Inc.,CLT,DEN,97,0.237508951534235
75,American Airlines Inc.,CLT,DFW,201,0.14422184115744519
76,American Airlines Inc.,CLT,DTW,78,0.19227713291668488
77,American Airlines Inc.,CLT,EWR,111,0.24301553947461293
78,American Airlines Inc.,CLT,FLL,123,0.23576443312046746
79,American Airlines Inc.,CLT,GSO,4,0.25000001096769436
80,American Airlines Inc.,CLT,IAD,6,0.33332357277721547
81,American Airlines Inc.,CLT,IAH,102,0.23529574792563443
82,American Airlines Inc.,CLT,ILM,56,0.07211501856931099
83,American Airlines Inc.,CLT,IND,24,0.2083219372322569
84,American Airlines Inc.,CLT,JAX,116,0.1294399397064441
85,American Airlines Inc.,CLT,JFK,94,0.2659421041301447
86,American Airlines Inc.,CLT,LAS,81,0.20948914373959107
87,American Airlines Inc.,CLT,LAX,110,0.18174984059645996
88,American Airlines Inc.,CLT,LGA,187,0.18710799905900938
89,American Airlines Inc.,CLT,MCI,76,0.19736064288400637
90,American Airlines Inc.,CLT,MCO,169,0.1981082718654542
91,American Airlines Inc.,CLT,MDT,28,0.1428562045496755
92,American Airlines Inc.,CLT,MEM,86,0.18461388036756146
93,American Airlines Inc.,CLT,MIA,163,0.21586527238630834
94,American Airlines Inc.,CLT,MLB,9,0.3333280778501292
95,American Airlines Inc.,CLT,MSP,66,0.18182508836967265
96,American Airlines Inc.,CLT,MSY,99,0.1717336541457071
97,American Airlines Inc.,CLT,MTJ,3,3.294034936663418e-08
98,American Airlines Inc.,CLT,MYR,21,0.04761906285567725
99,American Airlines Inc.,CLT,OKC,7,4.842291657900306e-08
100,American Airlines Inc.,CLT,ORD,153,0.2025907455220763
101,American Airlines Inc.,CLT,ORF,85,0.18817632525749806
102,American Airlines Inc.,CLT,PBI,79,0.22121423150088174
103,American Airlines Inc.,CLT,PDX,23,0.08926264243319412
104,American Airlines Inc.,CLT,PHL,174,0.20682824381057333
105,American Airlines Inc.,CLT,PHX,149,0.18784324964515234
106,American Airlines Inc.,CLT,PIT,108,0.13888625191560666
107,American Airlines Inc.,CLT,PNS,8,3.272031143941427e-08
108,American Airlines Inc.,CLT,PVD,77,0.1424957904612448
109,American Airlines Inc.,CLT,PWM,43,0.23255804083956005
110,American Airlines Inc.,CLT,RDU,153,0.19607758734926992
111,American Airlines Inc.,CLT,RIC,72,0.12519228932490412
112,American Airlines Inc.,CLT,RSW,74,0.12162033210881033
113,American Airlines Inc.,CLT,SAN,47,0.3190818594027467
114,American Airlines Inc.,CLT,SAT,65,0.29217163248787326
115,American Airlines Inc.,CLT,SAV,25,0.07995731151335722
116,American Airlines Inc.,CLT,SDF,2,5.905805515001154e-09
117,American Airlines Inc.,CLT,SEA,56,0.2541616184391673
118,American Airlines Inc.,CLT,SFO,98,0.2863575595002312
119,American Airlines Inc.,CLT,SJC,9,8.923059030451669e-08
120,American Airlines Inc.,CLT,SJU,30,0.1666606726543715
121,American Airlines Inc.,CLT,SLC,18,0.16665828106424826
122,American Airlines Inc.,CLT,SMF,22,0.3181781080104439
123,American Airlines Inc.,CLT,SRQ,2,5.906204640599539e-09
124,American Airlines Inc.,CLT,STL,53,0.20754519735098678
125,American Airlines Inc.,CLT,STT,2,0.4984794354253781
126,American Airlines Inc.,CLT,STX,3,0.3333132848790323
127,American Airlines Inc.,CLT,SYR,28,0.2505901015330684
128,American Airlines Inc.,CLT,TPA,161,0.15594388814370375
129,American Airlines Inc.,CLT,TUL,19,0.31578528805420786
130,American Airlines Inc.,CLT,TUS,16,0.24980251601172063
131,American Airlines Inc.,CMH,CLT,3,5.994463498913576e-09
132,American Airlines Inc.,CMH,DFW,89,0.19100463892582545
133,American Airlines Inc.,CMH,LAX,20,0.2499553919406913
134,American Airlines Inc.,CMH,PHL,3,0.6665767174230322
135,American Airlines Inc.,CMH,PHX,36,0.25057518521275834
136,American Airlines Inc.,COS,DFW,72,0.08833421500962153
137,American Airlines Inc.,CVG,DFW,39,0.23076077665602965
138,American Airlines Inc.,DAY,DFW,13,0.1538440189978147
139,American Airlines Inc.,DCA,BOS,229,0.17478925576333693
140,American Airlines Inc.,DCA,CLT,147,0.14283338968176984
141,American Airlines Inc.,DCA,DFW,179,0.18462308084253334
142,American Airlines Inc.,DCA,JFK,20,0.09997122101922787
143,American Airlines Inc.,DCA,LAS,17,0.05882200201249865
144,American Airlines Inc.,DCA,LAX,31,0.12908737751839558
145,American Airlines Inc.,DCA,LGA,4,5.9085798761892366e-09
146,American Airlines Inc.,DCA,MCO,87,0.12643216095806706
147,American Airlines Inc.,DCA,MIA,171,0.18712968421786993
148,American Airlines Inc.,DCA,MSY,7,0.14285377558120002
149,American Airlines Inc.,DCA,ORD,140,0.12124047028831807
150,American Airlines Inc.,DCA,PBI,16,0.18749834213629327
151,American Airlines Inc.,DCA,PHL,17,1.0881235733057834e-08
152,American Airlines Inc.,DCA,PHX,72,0.09724596771589761
153,American Airlines Inc.,DCA,RSW,15,0.19999589280616778
154,American Airlines Inc.,DCA,TPA,75,0.25327765627983356
155,American Airlines Inc.,DEN,CLT,100,0.21980824933654788
156,American Airlines Inc.,DEN,DFW,147,0.25189821331027834
157,American Airlines Inc.,DEN,JFK,11,0.18181813783561704
158,American Airlines Inc.,DEN,LAX,21,0.09523812223431002
159,American Airlines Inc.,DEN,MIA,64,0.18750162558927067
160,American Airlines Inc.,DEN,ORD,70,0.1856983614395661
161,American Airlines Inc.,DEN,PHL,31,0.22571522603995647
162,American Airlines Inc.,DEN,PHX,80,0.15001359987814641
163,American Airlines Inc.,DFW,ABQ,97,0.29870796173867825
164,American Airlines Inc.,DFW,ANC,7,0.28571173981823084
165,American Airlines Inc.,DFW,ATL,124,0.2742027068091089
166,American Airlines Inc.,DFW,AUS,191,0.22566985307159043
167,American Airlines Inc.,DFW,BDL,23,0.349068212072729
168,American Airlines Inc.,DFW,BNA,146,0.21917392693679516
