,Carrier,Origin,Destination,NumFlights,AvgProbDelayed
0,American Airlines Inc.,ABQ,DFW,104,0.2645676916192787
1,American Airlines Inc.,ABQ,ORD,28,0.297615364494912
2,American Airlines Inc.,ABQ,PHX,6,0.03516476806897001
3,American Airlines Inc.,ALB,CLT,50,0.2265525392211391
4,American Airlines Inc.,ANC,DFW,8,0.17148166996480516
5,American Airlines Inc.,ANC,LAX,1,0.26008042141160914
6,American Airlines Inc.,ANC,PHX,3,0.14589914238045665
7,American Airlines Inc.,ATL,CLT,109,0.32495895696716237
8,American Airlines Inc.,ATL,DFW,130,0.28088951340587204
9,American Airlines Inc.,ATL,LAX,54,0.40022121915682735
10,American Airlines Inc.,ATL,LGA,40,0.14304756169360894
11,American Airlines Inc.,ATL,MIA,68,0.3508040902318151
12,American Airlines Inc.,ATL,ORD,45,0.32241185984176784
13,American Airlines Inc.,ATL,PHL,94,0.1770129122023878
14,American Airlines Inc.,ATL,PHX,41,0.29105225689053893
15,American Airlines Inc.,AUS,CLT,78,0.3755115459124047
16,American Airlines Inc.,AUS,DFW,201,0.25463086864433304
17,American Airlines Inc.,AUS,JFK,26,0.3361229239309831
18,American Airlines Inc.,AUS,LAX,92,0.22328251517202002
19,American Airlines Inc.,AUS,MIA,18,0.45549264684603646
20,American Airlines Inc.,AUS,ORD,58,0.39303324625624003
21,American Airlines Inc.,AUS,PHL,44,0.27733533601043375
22,American Airlines Inc.,AUS,PHX,76,0.3689404354801613
23,American Airlines Inc.,BDL,CLT,93,0.3216959478438406
24,American Airlines Inc.,BDL,DFW,31,0.39616305015047204
25,American Airlines Inc.,BDL,LAX,18,0.26733097915200527
26,American Airlines Inc.,BDL,MIA,12,0.3392477083300211
27,American Airlines Inc.,BDL,ORD,42,0.34280552811226134
28,American Airlines Inc.,BDL,PHL,43,0.24395442186535207
29,American Airlines Inc.,BNA,CLT,100,0.32067815509631414
30,American Airlines Inc.,BNA,DFW,132,0.320141847579804
31,American Airlines Inc.,BNA,LAX,44,0.39348344622487624
32,American Airlines Inc.,BNA,MIA,18,0.4184939370315483
33,American Airlines Inc.,BNA,ORD,7,0.35185159034169555
34,American Airlines Inc.,BNA,PHL,33,0.24507098657382456
35,American Airlines Inc.,BOI,DFW,21,0.30759102884345024
36,American Airlines Inc.,BOI,PHX,15,0.44294262155557207
37,American Airlines Inc.,BOS,CLT,173,0.3587052018995348
38,American Airlines Inc.,BOS,DCA,233,0.18101205270961465
39,American Airlines Inc.,BOS,DFW,109,0.3884519870882127
40,American Airlines Inc.,BOS,JFK,47,0.2656332373365979
41,American Airlines Inc.,BOS,LAX,89,0.3133642917219396
42,American Airlines Inc.,BOS,LGA,183,0.20349244843389136
43,American Airlines Inc.,BOS,MIA,112,0.3167407019386895
44,American Airlines Inc.,BOS,ORD,152,0.3500563986761248
45,American Airlines Inc.,BOS,PHL,184,0.24324658291649295
46,American Airlines Inc.,BOS,PHX,80,0.46346776297557496
47,American Airlines Inc.,BTV,PHL,29,0.14826644676414788
48,American Airlines Inc.,BUF,CLT,53,0.3307304158299416
49,American Airlines Inc.,BWI,CLT,120,0.20399088800399387
50,American Airlines Inc.,BWI,DFW,63,0.354241094336813
51,American Airlines Inc.,BWI,MIA,48,0.3154016061213767
52,American Airlines Inc.,BWI,ORD,13,0.3215960373102688
53,American Airlines Inc.,BWI,PHX,34,0.4066304882349297
54,American Airlines Inc.,BZN,DFW,13,0.27098216450866325
55,American Airlines Inc.,BZN,ORD,3,0.528515237060235
56,American Airlines Inc.,CAE,DFW,20,0.3045906552524569
57,American Airlines Inc.,CHS,CLT,42,0.2756671251539001
58,American Airlines Inc.,CHS,DFW,43,0.32785073859892755
59,American Airlines Inc.,CHS,PHL,5,0.06033871732621948
60,American Airlines Inc.,CLE,CLT,41,0.3290922895975031
61,American Airlines Inc.,CLE,DFW,91,0.32285857976007304
62,American Airlines Inc.,CLE,PHL,37,0.3401144976517181
63,American Airlines Inc.,CLT,ALB,52,0.386744685121258
64,American Airlines Inc.,CLT,ATL,81,0.429373975685353
65,American Airlines Inc.,CLT,AUS,91,0.31717706935003653
66,American Airlines Inc.,CLT,BDL,117,0.3535197364743663
67,American Airlines Inc.,CLT,BNA,117,0.3458392984348664
68,American Airlines Inc.,CLT,BOS,164,0.467293110754655
69,American Airlines Inc.,CLT,BUF,59,0.3375772892720142
70,American Airlines Inc.,CLT,BWI,126,0.42866673408765943
71,American Airlines Inc.,CLT,CHS,50,0.284166650498914
72,American Airlines Inc.,CLT,CLE,56,0.3896328494703488
73,American Airlines Inc.,CLT,DCA,138,0.4611267323181326
74,American Airlines Inc.,CLT,DEN,97,0.38269695494376804
75,American Airlines Inc.,CLT,DFW,201,0.4119654271195775
76,American Airlines Inc.,CLT,DTW,78,0.3098683411505044
77,American Airlines Inc.,CLT,EWR,111,0.40038900977359626
78,American Airlines Inc.,CLT,FLL,123,0.31577855300325264
79,American Airlines Inc.,CLT,GSO,4,0.34103494460932565
80,American Airlines Inc.,CLT,IAD,6,0.3897762279361463
81,American Airlines Inc.,CLT,IAH,102,0.398498987468941
82,American Airlines Inc.,CLT,ILM,56,0.30715379522701836
83,American Airlines Inc.,CLT,IND,24,0.27236188032574277
84,American Airlines Inc.,CLT,JAX,116,0.3102053027963549
85,American Airlines Inc.,CLT,JFK,94,0.36544202380122487
86,American Airlines Inc.,CLT,LAS,81,0.41929328258631793
87,American Airlines Inc.,CLT,LAX,110,0.40149911447694503
88,American Airlines Inc.,CLT,LGA,187,0.358271066737002
89,American Airlines Inc.,CLT,MCI,76,0.2475563166927451
90,American Airlines Inc.,CLT,MCO,169,0.4161054190690008
91,American Airlines Inc.,CLT,MDT,28,0.3400559282805632
92,American Airlines Inc.,CLT,MEM,86,0.3123235485075083
93,American Airlines Inc.,CLT,MIA,163,0.38807917783187146
94,American Airlines Inc.,CLT,MLB,9,0.43524231242782396
95,American Airlines Inc.,CLT,MSP,66,0.4011690433763001
96,American Airlines Inc.,CLT,MSY,99,0.3451040025124022
97,American Airlines Inc.,CLT,MTJ,3,0.41257861515825905
